DATE,COMPUTSA
2003-01-01,1660.0000000000000000
2003-04-01,1678.6666666666666667
2003-07-01,1656.3333333333333333
2003-10-01,1712.0000000000000000
2004-01-01,1740.3333333333333333
2004-04-01,1896.0000000000000000
2004-07-01,1862.6666666666666667
2004-10-01,1839.3333333333333333
2005-01-01,1862.3333333333333333
2005-04-01,1998.3333333333333333
2005-07-01,1920.0000000000000000
2005-10-01,1936.6666666666666667
2006-01-01,2109.6666666666666667
2006-04-01,2006.0000000000000000
2006-07-01,1940.6666666666666667
2006-10-01,1899.6666666666666667
2007-01-01,1695.0000000000000000
2007-04-01,1518.6666666666666667
2007-07-01,1467.3333333333333333
2007-10-01,1374.3333333333333333
2008-01-01,1266.6666666666666667
2008-04-01,1102.0000000000000000
2008-07-01,1088.0000000000000000
2008-10-01,1050.6666666666666667
2009-01-01,811.6666666666666667
2009-04-01,820.3333333333333333
2009-07-01,770.0000000000000000
2009-10-01,780.0000000000000000
2010-01-01,664.6666666666666667
2010-04-01,777.6666666666666667
2010-07-01,598.6666666666666667
2010-10-01,574.0000000000000000
2011-01-01,575.3333333333333333
2011-04-01,559.0000000000000000
2011-07-01,617.0000000000000000
2011-10-01,587.0000000000000000
2012-01-01,562.6666666666666667
2012-04-01,640.6666666666666667
2012-07-01,670.6666666666666667
2012-10-01,691.6666666666666667
2013-01-01,753.0000000000000000
2013-04-01,718.6666666666666667
2013-07-01,775.0000000000000000
2013-10-01,806.0000000000000000
2014-01-01,869.0000000000000000
2014-04-01,841.6666666666666667
2014-07-01,907.3333333333333333
2014-10-01,912.6666666666666667
2015-01-01,866.0000000000000000
2015-04-01,991.6666666666666667
2015-07-01,1000.6666666666666667
2015-10-01,1002.6666666666666667
2016-01-01,1032.0000000000000000
2016-04-01,1018.0000000000000000
2016-07-01,1053.6666666666666667
2016-10-01,1138.3333333333333333
2017-01-01,1125.3333333333333333
2017-04-01,1158.3333333333333333
2017-07-01,1131.0000000000000000
2017-10-01,1192.6666666666666667
2018-01-01,1225.6666666666666667
2018-04-01,1232.6666666666666667
2018-07-01,1199.6666666666666667
2018-10-01,1102.0000000000000000
2019-01-01,1297.6666666666666667
2019-04-01,1241.3333333333333333
2019-07-01,1221.0000000000000000
2019-10-01,1282.6666666666666667
2020-01-01,1273.3333333333333333
2020-04-01,1207.3333333333333333
2020-07-01,1332.6666666666666667
2020-10-01,1332.0000000000000000
2021-01-01,1375.0000000000000000
2021-04-01,1357.6666666666666667
2021-07-01,1301.6666666666666667
2021-10-01,1328.3333333333333333
2022-01-01,1327.6666666666666667
2022-04-01,1399.6666666666666667
2022-07-01,1396.3333333333333333
2022-10-01,1427.0000000000000000
2023-01-01,1494.0000000000000000
