DATE,MORTGAGE15US
2003-01-01,5.2046153846153846
2003-04-01,4.8676923076923077
2003-07-01,5.3569230769230769
2003-10-01,5.2485714285714286
2004-01-01,4.8975000000000000
2004-04-01,5.4600000000000000
2004-07-01,5.2914285714285714
2004-10-01,5.1453846153846154
2005-01-01,5.2776923076923077
2005-04-01,5.2761538461538462
2005-07-01,5.3461538461538462
2005-10-01,5.7715384615384615
2006-01-01,5.8553846153846154
2006-04-01,6.2284615384615385
2006-07-01,6.2200000000000000
2006-10-01,5.9615384615384615
2007-01-01,5.9507692307692308
2007-04-01,6.0561538461538462
2007-07-01,6.2153846153846154
2007-10-01,5.8784615384615385
2008-01-01,5.3753846153846154
2008-04-01,5.6538461538461538
2008-07-01,5.8861538461538462
2008-10-01,5.5578571428571429
2009-01-01,4.7091666666666667
2009-04-01,4.6284615384615385
2009-07-01,4.6061538461538462
2009-10-01,4.3771428571428571
2010-01-01,4.3775000000000000
2010-04-01,4.3000000000000000
2010-07-01,3.9200000000000000
2010-10-01,3.8200000000000000
2011-01-01,4.1238461538461538
2011-04-01,3.8446153846153846
2011-07-01,3.4730769230769231
2011-10-01,3.2953846153846154
2012-01-01,3.1876923076923077
2012-04-01,3.0423076923076923
2012-07-01,2.8376923076923077
2012-10-01,2.6700000000000000
2013-01-01,2.7369230769230769
2013-04-01,2.8400000000000000
2013-07-01,3.4807692307692308
2013-10-01,3.3453846153846154
2014-01-01,3.4030769230769231
2014-04-01,3.3138461538461538
2014-07-01,3.2615384615384615
2014-10-01,3.1742857142857143
2015-01-01,3.0108333333333333
2015-04-01,3.0561538461538462
2015-07-01,3.1507692307692308
2015-10-01,3.1235714285714286
2016-01-01,3.0223076923076923
2016-04-01,2.8507692307692308
2016-07-01,2.7500000000000000
2016-10-01,3.1000000000000000
2017-01-01,3.3953846153846154
2017-04-01,3.2376923076923077
2017-07-01,3.1661538461538462
2017-10-01,3.2907692307692308
2018-01-01,3.7400000000000000
2018-04-01,4.0146153846153846
2018-07-01,4.0338461538461538
2018-10-01,4.2123076923076923
2019-01-01,3.8153846153846154
2019-04-01,3.4646153846153846
2019-07-01,3.1292307692307692
2019-10-01,3.1576923076923077
2020-01-01,2.9830769230769231
2020-04-01,2.7076923076923077
2020-07-01,2.4646153846153846
2020-10-01,2.2885714285714286
2021-01-01,2.2766666666666667
2021-04-01,2.3092307692307692
2021-07-01,2.1714285714285714
2021-10-01,2.3384615384615385
2022-01-01,3.0446153846153846
2022-04-01,4.4507692307692308
2022-07-01,4.8807692307692308
2022-10-01,5.9592307692307692
2023-01-01,5.5646153846153846
