DATE,PERMIT
2003-01-01,1806.3333333333333333
2003-04-01,1837.6666666666666667
2003-07-01,1937.3333333333333333
2003-10-01,1972.3333333333333333
2004-01-01,1994.6666666666666667
2004-04-01,2080.0000000000000000
2004-07-01,2069.6666666666666667
2004-10-01,2086.0000000000000000
2005-01-01,2105.0000000000000000
2005-04-01,2137.6666666666666667
2005-07-01,2228.3333333333333333
2005-10-01,2169.3333333333333333
2006-01-01,2157.0000000000000000
2006-04-01,1923.3333333333333333
2006-07-01,1713.3333333333333333
2006-10-01,1581.0000000000000000
2007-01-01,1606.6666666666666667
2007-04-01,1456.6666666666666667
2007-07-01,1314.3333333333333333
2007-10-01,1188.3333333333333333
2008-01-01,1025.0000000000000000
2008-04-01,1061.0000000000000000
2008-07-01,858.6666666666666667
2008-10-01,638.6666666666666667
2009-01-01,538.6666666666666667
2009-04-01,559.3333333333333333
2009-07-01,606.6666666666666667
2009-10-01,623.3333333333333333
2010-01-01,657.6666666666666667
2010-04-01,599.6666666666666667
2010-07-01,574.0000000000000000
2010-10-01,583.3333333333333333
2011-01-01,567.0000000000000000
2011-04-01,611.6666666666666667
2011-07-01,626.0000000000000000
2011-10-01,691.3333333333333333
2012-01-01,752.0000000000000000
2012-04-01,774.0000000000000000
2012-07-01,873.0000000000000000
2012-10-01,915.0000000000000000
2013-01-01,952.0000000000000000
2013-04-01,985.6666666666666667
2013-07-01,988.3333333333333333
2013-10-01,1026.0000000000000000
2014-01-01,1027.3333333333333333
2014-04-01,1039.3333333333333333
2014-07-01,1066.6666666666666667
2014-10-01,1075.0000000000000000
2015-01-01,1082.6666666666666667
2015-04-01,1272.3333333333333333
2015-07-01,1149.6666666666666667
2015-10-01,1205.0000000000000000
2016-01-01,1153.6666666666666667
2016-04-01,1191.0000000000000000
2016-07-01,1234.0000000000000000
2016-10-01,1244.0000000000000000
2017-01-01,1268.6666666666666667
2017-04-01,1265.6666666666666667
2017-07-01,1289.0000000000000000
2017-10-01,1322.3333333333333333
2018-01-01,1341.0000000000000000
2018-04-01,1344.6666666666666667
2018-07-01,1315.3333333333333333
2018-10-01,1311.3333333333333333
2019-01-01,1282.3333333333333333
2019-04-01,1312.3333333333333333
2019-07-01,1455.3333333333333333
2019-10-01,1507.0000000000000000
2020-01-01,1429.3333333333333333
2020-04-01,1210.6666666666666667
2020-07-01,1577.6666666666666667
2020-10-01,1698.3333333333333333
2021-01-01,1765.6666666666666667
2021-04-01,1679.3333333333333333
2021-07-01,1697.0000000000000000
2021-10-01,1816.6666666666666667
2022-01-01,1864.0000000000000000
2022-04-01,1734.6666666666666667
2022-07-01,1610.6666666666666667
2022-10-01,1455.3333333333333333
2023-01-01,1424.3333333333333333
