DATE,TLRESCONS,PERMIT,COMPUTSA,EVACANTUSQ176N,MSACSR,CSUSHPISA
2017-10-01,561974.3333333333,1322.3333333333333,1192.6666666666665,16814.0,5.3,195.98466666666667
2018-01-01,579931.0,1341.0,1225.6666666666665,17258.0,5.633333333333333,199.15233333333327
2018-04-01,580018.0,1344.6666666666665,1232.6666666666665,17060.0,5.633333333333333,201.44366666666664
2018-07-01,560078.3333333333,1315.3333333333333,1199.6666666666665,17221.0,6.366666666666666,203.67633333333333
2018-10-01,537342.6666666666,1311.3333333333333,1102.0,16382.0,7.066666666666666,205.66666666666669
2019-01-01,523324.33333333326,1282.3333333333333,1297.6666666666665,16814.0,6.366666666666666,206.768
2019-04-01,536929.3333333333,1312.3333333333333,1241.3333333333333,17031.0,5.9,208.1146666666667
2019-07-01,565801.0,1455.3333333333333,1221.0,17038.0,5.566666666666666,210.14466666666667
2019-10-01,585942.3333333333,1507.0,1282.6666666666665,16113.0,5.433333333333333,212.86633333333333
2020-01-01,617768.3333333333,1429.3333333333333,1273.3333333333333,15967.0,5.933333333333333,215.64633333333333
2020-04-01,598607.0,1210.6666666666665,1207.3333333333333,13876.0,5.366666666666666,217.1603333333333
2020-07-01,647543.0,1577.6666666666665,1332.6666666666665,14248.0,3.3666666666666667,222.623
2020-10-01,713781.6666666666,1698.3333333333333,1332.0,15445.0,3.8,233.19133333333332
2021-01-01,759608.0,1765.6666666666665,1375.0,15602.0,4.433333333333333,242.287
2021-04-01,789076.6666666665,1679.3333333333333,1357.6666666666665,15657.0,5.366666666666666,253.658
2021-07-01,822763.6666666665,1697.0,1301.6666666666665,15208.0,6.066666666666666,266.828
2021-10-01,864116.3333333333,1816.6666666666663,1328.3333333333333,15009.0,6.133333333333333,277.4936666666666
2022-01-01,941060.6666666665,1864.0,1327.6666666666665,15184.0,6.333333333333333,290.92466666666667
2022-04-01,973236.6666666665,1734.6666666666665,1399.6666666666665,15312.0,8.766666666666666,303.1153333333333
2022-07-01,919243.6666666665,1610.6666666666665,1396.3333333333333,15340.0,9.5,301.7296666666666
2022-10-01,875009.3333333333,1455.3333333333333,1427.0,14593.0,9.2,298.146
2023-01-01,859978.6666666665,1424.3333333333333,1494.0,15102.0,8.2,297.25633333333326
