DATE,TLRESCONS,PERMIT,COMPUTSA,EVACANTUSQ176N,MSACSR,CSUSHPISA
2003-01-01,421328.6666666666,1806.3333333333333,1660.0,14908.0,4.2,129.32066666666668
2003-04-01,429308.6666666666,1837.6666666666663,1678.6666666666665,15244.0,3.8333333333333326,131.75566666666666
2003-07-01,458890.0,1937.3333333333333,1656.3333333333333,15614.0,3.633333333333333,135.013
2003-10-01,491437.33333333326,1972.3333333333333,1712.0,15654.0,3.9666666666666663,138.83466666666666
2004-01-01,506856.33333333326,1994.6666666666663,1740.3333333333333,15895.0,3.7,143.2986666666667
2004-04-01,526483.3333333333,2080.0,1896.0,16079.0,3.9,148.209
2004-07-01,552939.0,2069.6666666666665,1862.6666666666663,15656.0,4.3,152.717
2004-10-01,561413.3333333333,2086.0,1839.3333333333333,15361.0,4.1,157.53566666666669
2005-01-01,590790.3333333333,2105.0,1862.3333333333333,15748.0,4.266666666666667,163.4813333333333
2005-04-01,611957.0,2137.6666666666665,1998.3333333333333,16061.0,4.266666666666667,169.347
2005-07-01,642273.6666666666,2228.333333333333,1920.0,15883.0,4.466666666666667,174.57966666666667
2005-10-01,670433.0,2169.333333333333,1936.6666666666663,15823.0,4.8,179.539
2006-01-01,680067.3333333333,2157.0,2109.6666666666665,16234.0,5.766666666666667,183.32366666666664
2006-04-01,639389.0,1923.3333333333333,2006.0,16513.0,6.266666666666667,183.99733333333327
2006-07-01,591320.6666666666,1713.3333333333333,1940.6666666666663,16769.0,6.9,182.82033333333328
2006-10-01,558263.6666666666,1581.0,1899.6666666666663,16894.0,6.8,183.64833333333328
2007-01-01,539003.6666666666,1606.6666666666665,1695.0,17724.0,7.666666666666665,184.421
2007-04-01,521924.0,1456.6666666666665,1518.6666666666665,17547.0,7.8,181.62133333333333
2007-07-01,488432.33333333326,1314.3333333333333,1467.3333333333333,18049.0,8.9,178.262
2007-10-01,439296.0,1188.3333333333333,1374.3333333333333,17910.0,9.166666666666666,175.371
2008-01-01,400027.33333333326,1025.0,1266.6666666666665,18642.0,9.83333333333333,171.575
2008-04-01,388045.33333333326,1061.0,1102.0,18701.0,10.566666666666666,166.67133333333334
2008-07-01,360447.6666666666,858.6666666666665,1088.0,18651.0,10.9,161.954
2008-10-01,319480.0,638.6666666666666,1050.6666666666665,18973.0,11.4,156.0283333333333
2009-01-01,276721.3333333333,538.6666666666666,811.6666666666665,19137.0,11.233333333333333,150.06
2009-04-01,246953.3333333333,559.3333333333333,820.3333333333333,18752.0,9.5,147.911
2009-07-01,257975.0,606.6666666666666,770.0,18996.0,7.7333333333333325,148.23666666666668
2009-10-01,263932.3333333333,623.3333333333333,780.0,19006.0,7.666666666666665,147.97066666666666
2010-01-01,263516.3333333333,657.6666666666666,664.6666666666666,19126.0,7.833333333333333,146.295
2010-04-01,262938.3333333333,599.6666666666666,777.6666666666665,19022.0,7.933333333333333,146.17266666666666
2010-07-01,251115.3333333333,574.0,598.6666666666666,18933.0,8.433333333333334,143.97433333333333
2010-10-01,248572.66666666663,583.3333333333333,574.0,18551.0,7.8,142.25466666666665
2011-01-01,250635.0,567.0,575.3333333333333,18998.0,7.533333333333333,140.61833333333334
2011-04-01,254937.3333333333,611.6666666666666,559.0,18843.0,6.633333333333333,139.92566666666667
2011-07-01,258663.3333333333,626.0,617.0,18803.0,6.5,139.23566666666667
2011-10-01,256598.66666666663,691.3333333333333,587.0,18389.0,5.666666666666666,137.2603333333333
2012-01-01,257335.0,752.0,562.6666666666666,18476.0,5.0,137.01533333333333
2012-04-01,270188.0,774.0,640.6666666666666,18519.0,4.8,140.11333333333332
2012-07-01,285750.0,873.0,670.6666666666666,18149.0,4.566666666666666,142.28633333333332
2012-10-01,302709.3333333333,915.0,691.6666666666666,17939.0,4.666666666666666,144.56366666666665
2013-01-01,314411.3333333333,952.0,753.0,18459.0,4.1,148.191
2013-04-01,327098.3333333333,985.6666666666665,718.6666666666666,18165.0,4.366666666666666,152.85566666666665
2013-07-01,340381.0,988.3333333333331,775.0,18177.0,5.466666666666667,156.932
2013-10-01,358938.6666666666,1026.0,806.0,18087.0,5.033333333333333,160.103
2014-01-01,372124.0,1027.3333333333333,869.0,18453.0,5.333333333333333,162.514
2014-04-01,379708.0,1039.3333333333333,841.6666666666665,18219.0,5.533333333333333,163.70633333333333
2014-07-01,381017.33333333326,1066.6666666666665,907.3333333333331,18170.0,5.666666666666666,165.233
2014-10-01,398399.6666666666,1075.0,912.6666666666665,16956.0,5.366666666666666,167.344
2015-01-01,415744.6666666666,1082.6666666666665,866.0,17502.0,4.8,169.189
2015-04-01,431303.6666666666,1272.3333333333333,991.6666666666665,17379.0,5.1,170.88266666666667
2015-07-01,449032.33333333326,1149.6666666666665,1000.6666666666666,17510.0,5.366666666666666,172.9656666666667
2015-10-01,455911.6666666666,1205.0,1002.6666666666666,17288.0,5.4,175.69233333333332
2016-01-01,469130.6666666666,1153.6666666666665,1032.0,17758.0,5.533333333333333,177.69733333333335
2016-04-01,476984.0,1191.0,1018.0,17268.0,5.133333333333333,179.426
2016-07-01,486776.33333333326,1234.0,1053.6666666666665,17160.0,4.9,181.83666666666664
2016-10-01,511518.0,1244.0,1138.3333333333333,17328.0,5.266666666666667,184.749
2017-01-01,530008.3333333333,1268.6666666666665,1125.3333333333333,17384.0,5.2333333333333325,187.36866666666668
2017-04-01,542087.3333333333,1265.6666666666665,1158.3333333333333,17637.0,5.266666666666667,189.62033333333332
2017-07-01,549424.3333333333,1289.0,1131.0,17684.0,5.7333333333333325,192.63433333333333
