DATE,POPTHM,GDP,InterestRateRealEstate,MORTGAGE15US,UMCSENT,MSPUS,CSUSHPISA
2003-01-01,289609.0,11174.129,155242.0,5.204615384615384,79.96666666666665,186000.0,129.32066666666668
2003-04-01,290252.6666666666,11312.766,153368.0,4.867692307692308,89.26666666666665,191800.0,131.75566666666666
2003-07-01,290974.0,11566.669,149239.0,5.356923076923077,89.3,191900.0,135.013
2003-10-01,291669.3333333333,11772.234,151454.0,5.248571428571429,91.96666666666665,198800.0,138.83466666666666
2004-01-01,292236.6666666666,11923.447,160762.0,4.8975,98.0,212700.0,143.2986666666667
2004-04-01,292875.3333333333,12112.815,168866.0,5.46,93.33333333333331,217600.0,148.209
2004-07-01,293603.3333333333,12305.307,179974.0,5.291428571428571,95.6,213500.0,152.717
2004-10-01,294334.0,12527.214,179742.0,5.145384615384616,93.86666666666666,228800.0,157.53566666666669
2005-01-01,294957.3333333333,12767.286,185895.0,5.277692307692308,94.06666666666666,232500.0,163.4813333333333
2005-04-01,295588.3333333333,12922.656,188998.0,5.276153846153846,90.2,233700.0,169.347
2005-07-01,296340.3333333333,13142.642,197558.0,5.346153846153847,87.5,236400.0,174.57966666666667
2005-10-01,297085.6666666666,13324.204,204159.0,5.771538461538461,82.43333333333332,243600.0,179.539
2006-01-01,297736.6666666666,13599.16,210658.0,5.855384615384616,88.93333333333332,247700.0,183.32366666666664
2006-04-01,298408.0,13753.424,219299.0,6.228461538461539,83.8,246300.0,183.99733333333327
2006-07-01,299180.0,13870.188,224788.0,6.22,84.03333333333333,235600.0,182.82033333333328
2006-10-01,299946.0,14039.56,229622.0,5.961538461538462,92.46666666666665,245400.0,183.64833333333328
2007-01-01,300609.6666666666,14215.651,236627.0,5.9507692307692315,92.2,257400.0,184.421
2007-04-01,301283.6666666666,14402.082,246080.0,6.056153846153847,86.9,242200.0,181.62133333333333
2007-07-01,302062.6666666666,14564.117,251072.0,6.215384615384616,85.73333333333333,241800.0,178.262
2007-10-01,302828.6666666666,14715.058,249532.0,5.878461538461538,77.5,238400.0,175.371
2008-01-01,303493.6666666666,14706.538,229526.0,5.375384615384616,72.9,233900.0,171.575
2008-04-01,304159.6666666666,14865.701,233389.0,5.653846153846153,59.6,235300.0,166.67133333333334
2008-07-01,304902.3333333333,14898.999,227804.0,5.886153846153847,64.83333333333333,226500.0,161.954
