DATE,CSUSHPISA
2003-01-01,129.3206666666666733
2003-04-01,131.7556666666666667
2003-07-01,135.0130000000000000
2003-10-01,138.8346666666666667
2004-01-01,143.2986666666666733
2004-04-01,148.2090000000000000
2004-07-01,152.7170000000000000
2004-10-01,157.5356666666666733
2005-01-01,163.4813333333333267
2005-04-01,169.3469999999999933
2005-07-01,174.5796666666666600
2005-10-01,179.5390000000000067
2006-01-01,183.3236666666666667
2006-04-01,183.9973333333333267
2006-07-01,182.8203333333333267
2006-10-01,183.6483333333333267
2007-01-01,184.4209999999999933
2007-04-01,181.6213333333333400
2007-07-01,178.2620000000000067
2007-10-01,175.3710000000000133
2008-01-01,171.5750000000000000
2008-04-01,166.6713333333333400
2008-07-01,161.9540000000000000
2008-10-01,156.0283333333333333
2009-01-01,150.0600000000000000
2009-04-01,147.9109999999999933
2009-07-01,148.2366666666666733
2009-10-01,147.9706666666666667
2010-01-01,146.2950000000000000
2010-04-01,146.1726666666666667
2010-07-01,143.9743333333333333
2010-10-01,142.2546666666666667
2011-01-01,140.6183333333333400
2011-04-01,139.9256666666666667
2011-07-01,139.2356666666666600
2011-10-01,137.2603333333333333
2012-01-01,137.0153333333333333
2012-04-01,140.1133333333333333
2012-07-01,142.2863333333333267
2012-10-01,144.5636666666666667
2013-01-01,148.1910000000000000
2013-04-01,152.8556666666666600
2013-07-01,156.9319999999999933
2013-10-01,160.1030000000000000
2014-01-01,162.5140000000000133
2014-04-01,163.7063333333333333
2014-07-01,165.2329999999999933
2014-10-01,167.3440000000000133
2015-01-01,169.1890000000000033
2015-04-01,170.8826666666666667
2015-07-01,172.9656666666666733
2015-10-01,175.6923333333333333
2016-01-01,177.6973333333333467
2016-04-01,179.4259999999999933
2016-07-01,181.8366666666666667
2016-10-01,184.7489999999999900
2017-01-01,187.3686666666666800
2017-04-01,189.6203333333333333
2017-07-01,192.6343333333333333
2017-10-01,195.9846666666666767
2018-01-01,199.1523333333333267
2018-04-01,201.4436666666666667
2018-07-01,203.6763333333333433
2018-10-01,205.6666666666666733
2019-01-01,206.7680000000000000
2019-04-01,208.1146666666666733
2019-07-01,210.1446666666666733
2019-10-01,212.8663333333333400
2020-01-01,215.6463333333333400
2020-04-01,217.1603333333333433
2020-07-01,222.6229999999999933
2020-10-01,233.1913333333333333
2021-01-01,242.2869999999999933
2021-04-01,253.6580000000000067
2021-07-01,266.8279999999999767
2021-10-01,277.4936666666666533
2022-01-01,290.9246666666666433
2022-04-01,303.1153333333333333
2022-07-01,301.7296666666666667
2022-10-01,298.1460000000000000
2023-01-01,297.2563333333333233
